Order_Id,Customer_Id,Customer_Name,Product_Id,Product_Category,Product_Name,Payment_Type,Quantity_ordered,Price,Date_and_Time_When_Order_Was_Placed,Customer_Country,Customer_City,Site_From_Where_Order_Was_Placed,Payment_Transaction_Confirmation_Id,Payment_Success_or_Failure,Payment_Failure_Reason
8b051a68-4ed4-4da2-bdf7-73ba9dacb664,8948e688-d4c0-4aaa-99da-6b3d81d8ad55,Anthony Porter,e6f5a6f6-e063-49bd-acdd-3828a3eebe41,Home & Kitchen,Detergent,UPI,1,395.16,2022-12-28 05:16:43,USA,New York,Walmart,f231030c-bf6d-400a-be7a-3282a31879b5,N,Insufficient funds
6ad5e3c9-38ab-4194-9f69-d0b82d41e920,31949e97-8c30-4e56-ac29-2af1548ea94c,Ryan Fischer,69727d5c-438a-4599-ba70-0ce43140321d,Clothing,T-Shirts,Wallet,4,675.04,2021-10-23 11:26:33,USA,Phoenix,Shopify,9bfaab2d-0978-4673-81af-37746377d300,Y,Payment Successful
78d271cd-4574-4fb8-83fa-d166b535d787,8a41156c-1c9e-4ad7-917f-c61bf0e82d0b,Paul Young,52005679-0692-4bbc-a825-e77d26f5decc,Home & Kitchen,Shampoo,UPI,1,838.92,2020-01-06 08:41:03,Canada,Montreal,Amazon,5219ed54-608d-4895-a2c6-64bbaf23aac6,N,Card expired
f7505ea0-6485-4d88-8e9e-778a3e6035a3,f09789e5-81e8-41c2-81e8-b0de270d4f39,Amber Robinson,6fc9f8a8-61b4-455a-a942-a6071f8c0e2b,Clothing,Jeans,Card,3,150.02,2021-11-23 22:50:48,Germany,Cologne,Shopify,8b9fa259-2b1e-48ba-b514-4a140901ff4c,N,Insufficient funds
83fdc38f-8063-43e0-a7ea-d678c398ecb1,579a5b6d-3bc9-4ded-9333-becff1268cb2,Stacie Wilson,266160ff-cb64-4e6d-9929-9921cc2c7f0f,Clothing,T-Shirts,Internet Banking,5,375.21,2023-12-25 23:31:45,India,Bangalore,Shopify,4b4427ff-36b6-44c2-bcf4-f2c7329d5a63,Y,Payment Successful
a838f16a-e427-44d3-95e7-0851785a4720,7499b56a-e8ed-4c72-829f-82585e225ee9,Cheyenne Jenkins,03c062d8-c228-4cbb-ae17-e91b997f1ba8,Electronics,Smartphones,UPI,2,355.58,2023-07-26 05:03:54,USA,Los Angeles,Amazon,abd105f7-925f-4fd4-af31-3a5606045e71,N,Insufficient funds
3bca5099-8eb5-4232-b5cb-a007cbc5c146,529123e8-4bd5-4503-8a6f-071f75f39c27,Marcus Martin,f282ac2f-5d69-497f-a13e-03b2861ae55c,Sports,Tennis Racket,Wallet,4,147.69,2020-06-05 20:39:29,Germany,Cologne,Flipkart,c76d624c-5f4f-4fc9-8d6b-53eb3675a115,N,Insufficient funds
c69f298f-ec75-4dec-bbb0-b9991cb4302b,0491b402-24eb-432c-ad99-bb777c824518,Michael Poole,77cb917a-6a6d-4606-b35b-80244e777e53,Sports,Gym Gloves,UPI,3,134.94,2023-07-29 07:14:02,UK,Birmingham,Walmart,bc2d6989-47c1-432a-93b4-4d3703103cd6,N,Insufficient funds
238228bc-ac22-400d-bf11-f43a16f7a97e,d866226f-247a-45b1-9566-a6a4de5f57be,Stephanie Scott,c5886aef-ca40-4e41-a898-9841ad7d6d5b,Clothing,Jeans,Internet Banking,5,723.65,2021-11-07 16:46:01,India,Kolkata,Flipkart,10ebb4cc-69cb-4330-91ed-5787ad92083f,N,Card expired
64c2728f-a120-4519-a05b-ec4f674c0d12,5d620077-a8d4-4bf3-bd83-a0dd0490c622,Alisha Arnold,7d485e36-b3be-4ca9-9fae-ea27af5a9406,Home & Kitchen,Lotion,Wallet,4,631.47,2020-02-07 00:51:55,USA,Chicago,Flipkart,1cf34a98-e1d8-49a1-9219-5373150c85e1,Y,Payment Successful
90cf5e0f-d3f3-44c3-97fc-778bde07be07,8d870250-cfa4-4a36-9cd9-99664b161d56,Joe Wilson,5f3b855a-b2ee-4165-83ca-552e8d636144,Sports,Cricket Bat,Internet Banking,5,970.21,2023-09-24 08:03:46,UK,Birmingham,Shopify,7bacf211-a7b2-406d-a33d-6d8c9250dddf,Y,Payment Successful
bf06a829-0a86-4d9e-a1c2-476e0966213e,cb1ae30e-b7a0-460e-a18c-247bc80b20a5,Sharon Peterson,155b97ff-20f1-4224-a8ed-db731d80183c,Books,Comics,Internet Banking,3,727.83,2021-03-16 11:53:03,India,Chennai,eBay,bfe1fd30-61f7-464b-a89f-14120d688577,N,Payment gateway error
358c9da5-5c25-4082-aaf3-6ab1b2b18d8f,53762ede-9056-4ce3-8bf7-06bd62be4d61,Shannon Rivera,e16f9f79-fa5f-4a8e-b23a-038df4747a9c,Books,Magazines,Card,1,231.09,2023-02-01 15:45:33,Germany,Hamburg,Amazon,74a55e3a-4c87-42e1-8201-d52714fc74f0,Y,Payment Successful
2fb6b41b-28fb-448f-a9f5-ae0f35731e0e,f929a675-6d35-4ac9-af07-99d06db5afcc,Ricardo Woodard,1eac46df-6482-48c5-8634-e3f0f30d2a4d,Books,Magazines,Wallet,3,233.95,2020-06-27 15:18:24,Germany,Frankfurt,Amazon,1167a6c0-0107-4544-9a69-c1359c1cd651,Y,Payment Successful
